movie,budget,revenue,my_rating,tmdb_user_score
Doctor Strange in the Multiverse of Madness(2022),"200,000,000.00","955,775,804.00",30,73
Thor Love and Thunder(2022),"250,000,000.00","760,900,000.00",30,65
Top Gun: Maverick(2022),"170,000,000.00","1,488,732,821.00",100,82
Jurassic World Dominion(2022),"165,000,000.00","1,001,978,080.00",20,67
Moonfall(2022),"146,000,000.00","67,300,000.00",10,63
The Batman(2022),"185,000,000.00","771,000,000.00",70,73
Us(2019),"20,000,000.00","256,067,149.00",80,70
Aquaman(2018),"160,000,000.00","1,148,528,393.00",60,69
Captain Marvel(2019),"152,000,000.00","1,131,416,446.00",20,68
Inception(2010),"160,000,000.00","825,535,764.00",90,84
The Shawshank Redemption(1994),"25,000,000.00","28,341,469.00",90,87
Knives Out(2019),"40,000,000.00","312,897,920.00",80,78
Taken(2008),"25,000,000.00","226,830,568.00",80,74
Elysium(2013),"115,000,000.00","286,140,700.00",80,65
Kill Bill Vol. 1(2003),"30,000,000.00","180,906,076.00",90,80
Kill Bill Vol. 2(2004),"30,000,000.00","152,159,461.00",90,79
Interstellar(2014),"165,000,000.00","701,729,206.00",90,84
District 9 (2009),"30,000,000.00","210,800,000.00",80,74
Mission Impossible: Ghost Protocol(2011),"145,000,000.00","694,700,000.00",90,71
The Last Airbender(2010),"150,000,000.00","319,713,881.00",10,47
All Quiet on the Western Front(2022),"20,000,000.00",0.00,90,77
Godzilla(2014),"160,000,000.00","529,100,000.00",20,63
Edge of Tomorrow (2014),"178,000,000.00","370,541,256.00",90,76
Hot Fuzz (2007),"12,000,000.00","80,600,000.00",80,76
Shaun of the Dead (2004),"6,100,000.00","30,100,000.00",100,75
Zombieland (2009),"23,600,000.00","102,391,540.00",80,73
First Blood (1982),"15,000,000.00","125,212,904.00",80,75
The Gentleman (2020),"22,000,000.00","115,171,795.00",90,77
Guy Ritchie's The Covenant (2023),"55,000,000.00","20,000,000.00",90,78
A Quiet Place (2018),"17,000,000.00","341,000,000.00",80,74
The Tomorrow War (2021),"200,000,000.00","14,400,000.00",80,76
Extraction 2 (2023),"65,000,000.00",0.00,80,75
Extraction (2020),"65,000,000.00",0.00,90,73
The Sound of Freedom (2023),"14,500,000.00","250,600,000.00",100,80
Mile 22 (2018),"35,000,000.00","66,308,758.00",70,62
Patriots Day (2016),"45,000,000.00","50,548,152.00",90,70
Deepwater Horizon (2016),"110,000,000.00","121,790,373.00",80,69
Lone Survivor (2013),"40,000,000.00","149,295,601.00",90,74
13 Hours: The Secret Soldiers of Benghazi (2016),"50,000,000.00","69,411,370.00",80,73
World War Z (2013),"200,000,000.00","531,865,000.00",70,68
Black Hawk Down (2001),"92,000,000.00","172,989,651.00",80,74
We Were Soldiers (2002),"75,000,000.00","114,660,784.00",90,71
The Passion of the Christ (2004),"30,000,000.00","611,900,000.00",100,75
The Patriot (2000),"110,000,000.00","215,294,342.00",90,72
Pirates of the Caribbean: At World's End (2007),"300,000,000.00","961,000,000.00",100,73
Pirates of the Caribbean: Dead man's Chest (2006),"200,000,000.00","1,065,700,000.00",100,74
Guardians os the Galaxy Vol. 2 (2017),"200,000,000.00","863,756,051.00",90,76
Logan (2017),"97,000,000.00","619,021,436.00",90,78
Kong: Skull Island (2017),"185,000,000.00","566,652,812.00",80,65
